komisi,bidang,lokasi_ID,ID_SKPD,kode_SKPD,nama_SKPD, nilai_anggaran , nilai_SP2D ,persen_SP2D, nilai_SPJ ,persen_SPJ,persen_rencana,persen_pelaksanaan
5,3,0,1203,1.02.068,Unit Penyelenggara Jaminan Pemeliharaan Kesehatan Daerah," 1,687,267,309,000 "," 1,656,012,886,758 ",98.15%," 1,397,907,776,321 ",82.85%,87.81%,77.95%
1,1,0,1204,1.20.390,Badan Penanggulangan Bencana Daerah," 18,024,272,000 "," 10,341,127,740 ",57.37%," 5,663,296,612 ",31.42%,77.19%,73.49%
4,4,0,1205,1.08.030,UPT Laboratorium Lingkungan Hidup Daerah," 18,526,300,000 "," 14,878,132,125 ",80.31%," 14,694,471,825 ",79.32%,92.85%,86.73%
2,2,0,1206,1.15.010,Unit Pengelola Lokasi Binaan Usaha Mikro dan Kecil," 38,236,913,837 "," 11,125,140,926 ",29.10%," 10,447,654,276 ",27.32%,87.47%,81.78%
3,2,0,1207,1.20.391,UPK Samsat Jakarta Pusat," 1,200,000,000 "," 755,140,330 ",62.93%," 748,449,605 ",62.37%,89.17%,88.35%
3,2,0,1208,1.20.392,UPK Samsat Jakarta Utara," 1,200,000,000 "," 1,120,797,585 ",93.40%," 819,483,000 ",68.29%,86.75%,10.08%
3,2,0,1209,1.20.393,UPK Samsat Jakarta Barat," 1,200,000,000 "," 1,102,051,625 ",91.84%," 887,912,125 ",73.99%,86.96%,54.97%
3,2,0,1210,1.20.394,UPK Samsat Jakarta Selatan," 1,200,000,000 "," 1,188,704,330 ",99.06%," 883,992,760 ",73.67%,100.00%,100.00%
3,2,0,1211,1.20.395,UPK Samsat Jakarta Timur," 1,200,000,000 "," 887,289,730 ",73.94%," 480,282,180 ",40.02%,71.42%,6.79%
5,3,0,1212,1.02.063,RSUD Pasar Minggu," 2,650,000,000 "," 2,129,266,515 ",80.35%," 1,571,134,034 ",59.29%,100.00%,64.36%
2,2,0,1213,1.15.011,"Pusat Promosi Usaha Mikro, Kecil dan Menengah"," 11,992,350,000 "," 1,385,356,804 ",11.55%," 1,066,544,804 ",8.89%,85.29%,66.51%
2,2,0,1214,1.07.017,UPT Pusat Pengujian Kendaraan Bermotor," 15,119,993,606 "," 8,708,732,340 ",57.60%," 8,344,625,021 ",55.19%,80.23%,76.46%
2,2,0,1215,1.07.018,UPT Terminal dan Angkutan Jalan," 45,773,679,444 "," 10,639,731,116 ",23.24%," 9,412,599,066 ",20.56%,49.87%,85.56%
2,2,0,1216,1.07.019,UPT  Pengelola Angkutan  Perairan dan Kepelabuhan," 193,739,997,827 "," 24,223,545,236 ",12.50%," 22,000,728,039 ",11.36%,32.70%,23.71%
2,2,0,1217,1.07.020,UPT Angkutan Sekolah," 28,633,830,000 "," 10,367,632,195 ",36.21%," 10,164,454,935 ",35.50%,75.20%,51.10%
2,2,0,1218,1.07.021,UPT  Sistem Pengendalian Lalulintas," 91,867,516,900 "," 2,113,656,900 ",2.30%," 990,056,250 ",1.08%,13.27%,63.93%
2,2,0,1219,1.07.022,UPT Terminal Terpadu Pulo Gebang," 51,891,320,098 "," 9,137,937,917 ",17.61%," 6,323,840,270 ",12.19%,34.03%,43.58%
1,1,10000,68,1.20.021,Kota Administrasi Jakarta Pusat," 150,570,993,083 "," 81,355,765,666 ",54.03%," 69,550,362,096 ",46.19%,67.33%,76.26%
1,1,10000,69,1.06.002,Kantor Perencanaan Pembangunan - JAKPUS," 5,400,000,000 "," 4,031,444,000 ",74.66%," 2,424,968,507 ",44.91%,84.03%,26.59%
1,1,10000,70,1.20.077,Inspektorat Pembantu - JAKPUS," 4,122,935,000 "," 3,016,712,600 ",73.17%," 2,397,072,200 ",58.14%,73.34%,67.38%
1,1,10000,71,1.19.002,Kantor Kesatuan Bangsa dan Politik - JAKPUS," 11,400,000,000 "," 9,895,657,695 ",86.80%," 7,708,609,600 ",67.62%,76.14%,75.58%
4,4,10000,72,1.08.006,Kantor Lingkungan Hidup - JAKPUS," 4,460,603,400 "," 4,170,761,900 ",93.50%," 3,464,738,357 ",77.67%,93.56%,80.39%
5,3,10000,73,1.22.002,Kantor Pemberdayaan Masyarakat dan Perempuan - JAKPUS," 8,234,219,500 "," 6,357,303,100 ",77.21%," 3,260,889,000 ",39.60%,78.95%,42.57%
1,1,10000,74,1.20.359,Satpol PP - JAKPUS," 32,245,400,000 "," 21,247,610,050 ",65.89%," 21,046,503,460 ",65.27%,85.36%,80.03%
1,1,10000,75,1.10.002,Sudin Kependudukan dan Catatan Sipil - JAKPUS," 5,763,000,000 "," 4,510,070,150 ",78.26%," 3,590,624,370 ",62.30%,86.63%,51.86%
1,1,10000,76,1.20.076,Sudin Pemadam Kebakaran dan Penanggulangan Bencana - JAKPUS," 22,707,930,425 "," 12,122,372,939 ",53.38%," 10,400,353,799 ",45.80%,95.44%,68.41%
2,2,10000,78,1.15.003,"Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKPUS"," 4,295,000,000 "," 2,525,432,500 ",58.80%," 1,925,118,415 ",44.82%,61.86%,53.77%
2,2,10000,81,1.21.008,Sudin Pertanian dan Peternakan - JAKPUS," 7,574,000,000 "," 4,760,300,006 ",62.85%," 3,957,385,356 ",52.25%,99.74%,72.27%
2,2,10000,82,1.17.017,Sudin Pariwisata - JAKPUS," 3,775,000,000 "," 3,771,910,000 ",99.92%," 2,994,123,215 ",79.31%,82.69%,79.10%
3,2,10000,83,1.20.075,Sudin Pelayanan Pajak I - JAKPUS," 1,605,000,000 "," 1,598,021,250 ",99.57%," 965,491,900 ",60.16%,80.44%,72.53%
3,2,10000,84,1.20.374,Sudin Pelayanan Pajak II - JAKPUS," 1,605,000,000 "," 1,596,244,246 ",99.45%," 1,187,551,846 ",73.99%,83.57%,78.44%
4,4,10000,85,1.03.002,Sudin PU Jalan - JAKPUS," 69,575,514,065 "," 24,946,228,202 ",35.85%," 16,686,928,369 ",23.98%,88.88%,55.96%
4,4,10000,86,1.03.003,Sudin PU Tata Air - JAKPUS," 163,864,991,895 "," 75,643,985,082 ",46.16%," 64,285,447,095 ",39.23%,45.19%,51.83%
4,4,10000,89,1.05.003,Sudin Pengawasan dan Penertiban Bangunan - JAKPUS," 3,077,000,000 "," 2,194,921,700 ",71.33%," 1,084,532,700 ",35.25%,70.20%,44.08%
4,4,10000,90,1.08.021,Sudin Pertamanan - JAKPUS," 51,813,000,000 "," 25,691,987,582 ",49.59%," 20,242,202,656 ",39.07%,86.03%,69.48%
2,2,10000,92,1.07.011,Sudin Perhubungan - JAKPUS," 12,758,100,000 "," 5,723,455,675 ",44.86%," 5,267,052,150 ",41.28%,89.56%,79.89%
4,4,10000,93,1.08.007,Sudin Kebersihan - JAKPUS," 55,638,070,748 "," 42,025,960,008 ",75.53%," 32,796,024,487 ",58.95%,75.34%,53.20%
5,3,10000,94,1.01.010,Sudin Pendidikan Dasar - JAKPUS," 424,273,786,550 "," 141,116,107,239 ",33.26%," 115,665,226,439 ",27.26%,89.44%,31.55%
5,3,10000,95,1.01.021,Sudin Pendidikan Menengah  - JAKPUS," 434,709,379,688 "," 109,662,730,989 ",25.23%," 96,402,396,603 ",22.18%,65.15%,20.30%
5,3,10000,97,1.02.013,BLUD Puskesmas Kec. Tanah Abang - JAKPUS," 11,099,607,400 "," 8,834,811,506 ",79.60%," 7,511,359,600 ",67.67%,44.40%,64.31%
5,3,10000,98,1.02.014,BLUD Puskesmas Kec. Menteng - JAKPUS," 10,085,798,146 "," 7,854,709,377 ",77.88%," 5,518,082,476 ",54.71%,38.26%,77.39%
5,3,10000,99,1.02.015,BLUD Puskesmas Kec. Senen - JAKPUS," 12,162,681,633 "," 7,873,690,524 ",64.74%," 6,080,951,341 ",50.00%,92.47%,83.28%
5,3,10000,100,1.02.016,BLUD Puskesmas Kec. Cempaka Putih - JAKPUS," 12,609,900,340 "," 9,649,701,050 ",76.52%," 7,123,497,925 ",56.49%,38.28%,65.86%
5,3,10000,101,1.02.017,BLUD Puskesmas Kec. Johar Baru - JAKPUS," 11,230,857,234 "," 8,373,938,584 ",74.56%," 6,628,773,815 ",59.02%,78.60%,56.26%
5,3,10000,102,1.02.018,BLUD Puskesmas Kec. Kemayoran - JAKPUS," 13,991,397,886 "," 7,999,153,065 ",57.17%," 6,717,883,529 ",48.01%,50.35%,82.41%
5,3,10000,103,1.02.019,BLUD Puskesmas Kec. Sawah Besar - JAKPUS," 10,161,073,500 "," 6,105,934,489 ",60.09%," 4,199,285,249 ",41.33%,67.70%,59.43%
5,3,10000,104,1.02.020,BLUD Puskesmas Kec. Gambir - JAKPUS," 9,248,896,020 "," 6,731,107,134 ",72.78%," 4,145,292,944 ",44.82%,75.33%,88.69%
5,3,10000,106,1.13.027,Sudin Sosial - JAKPUS," 16,678,574,080 "," 13,528,205,411 ",81.11%," 9,715,925,016 ",58.25%,68.59%,51.20%
5,3,10000,107,1.18.008,Sudin Olah Raga dan Pemuda - JAKPUS," 35,341,900,000 "," 32,055,041,493 ",90.70%," 27,451,026,183 ",77.67%,84.60%,82.43%
2,2,10000,108,1.17.015,Sudin Kebudayaan - JAKPUS," 7,267,000,000 "," 7,238,061,300 ",99.60%," 5,785,008,850 ",79.61%,71.12%,69.11%
2,2,10000,109,1.14.012,Sudin Tenaga Kerja dan Transmigrasi - JAKPUS," 5,840,640,000 "," 5,487,059,400 ",93.95%," 5,135,059,340 ",87.92%,98.92%,98.23%
1,1,10000,110,1.25.002,"Sudin Komunikasi, Informatika dan Kehumasan - JAKPUS"," 3,172,750,000 "," 637,054,973 ",20.08%," 558,609,546 ",17.61%,72.75%,35.55%
4,4,10000,112,1.05.014,Sudin Perizinan Bangunan - JAKPUS," 870,000,000 "," 703,790,300 ",80.90%," 645,201,820 ",74.16%,96.41%,98.54%
4,4,10000,113,1.08.005,Sudin Pemakaman - JAKPUS," 14,706,828,575 "," 6,801,255,686 ",46.25%," 6,429,263,370 ",43.72%,59.49%,49.42%
5,3,10000,114,1.26.002,Kantor Perpustakaan dan Arsip Daerah - JAKPUS," 28,772,094,165 "," 14,907,955,151 ",51.81%," 14,067,802,740 ",48.89%,93.97%,60.76%
5,3,10000,344,1.18.009,Gelanggang Remaja Jakarta Pusat," 43,301,930,000 "," 22,537,480,016 ",52.05%," 17,490,633,916 ",40.39%,60.48%,55.05%
5,3,10000,747,1.12.001,Kantor Keluarga Berencana - JAKPUS," 4,052,518,000 "," 3,363,768,561 ",83.00%," 2,532,593,094 ",62.49%,92.65%,86.79%
5,3,10000,1007,1.02.012,Sudin Kesehatan - JAKPUS," 82,005,650,128 "," 48,589,087,753 ",59.25%," 41,579,987,303 ",50.70%,58.41%,63.81%
4,4,10000,1013,1.04.002,"Sudin Perumahan, Permukiman dan Gedung Pemda - JAKPUS"," 110,052,943,500 "," 13,368,184,509 ",12.15%," 9,678,831,044 ",8.79%,74.31%,15.98%
4,4,10000,1019,1.05.004,Sudin Tata Ruang dan Pertanahan - JAKPUS," 1,781,000,000 "," 1,233,887,273 ",69.28%," 1,052,616,173 ",59.10%,96.92%,40.28%
1,1,10000,1038,1.20.367,Kantor Kepegawaian - JAKPUS," 2,357,000,000 "," 2,351,385,500 ",99.76%," 1,971,773,918 ",83.66%,93.29%,89.29%
2,2,10000,1054,2.07.006,Sudin Perindustrian dan Energi - JAKPUS," 22,634,800,000 "," 10,999,985,820 ",48.60%," 9,754,080,875 ",43.09%,83.50%,74.76%
3,2,10000,1102,1.20.382,Unit Perbendaharaan dan Pelayanan Kas Jakarta Pusat," 2,700,000,000 "," 2,612,365,640 ",96.75%," 1,949,874,235 ",72.22%,99.31%,88.99%
1,1,10100,389,1.20.022,Kecamatan Tanah Abang - JAKPUS," 3,798,000,000 "," 2,314,433,174 ",60.94%," 1,999,467,704 ",52.65%,90.88%,89.08%
1,1,10101,390,1.20.023,Kelurahan Gelora - JAKPUS," 2,068,689,000 "," 1,978,607,225 ",95.65%," 1,866,215,847 ",90.21%,5.69%,15.56%
1,1,10102,392,1.20.024,Kelurahan Bendungan Hilir - JAKPUS," 4,128,441,000 "," 4,051,913,648 ",98.15%," 3,985,886,688 ",96.55%,99.01%,85.44%
1,1,10103,391,1.20.025,Kelurahan Karet Tengsin - JAKPUS," 3,407,494,000 "," 3,179,934,153 ",93.32%," 2,600,436,553 ",76.32%,97.08%,87.50%
1,1,10104,393,1.20.026,Kelurahan Petamburan - JAKPUS," 4,487,109,000 "," 4,395,340,713 ",97.95%," 3,731,519,399 ",83.16%,60.58%,96.59%
1,1,10105,394,1.20.027,Kelurahan Kebon Melati - JAKPUS," 5,576,326,000 "," 5,160,959,970 ",92.55%," 4,040,062,260 ",72.45%,56.12%,55.93%
1,1,10106,395,1.20.028,Kelurahan Kebon Kacang - JAKPUS," 4,780,981,000 "," 4,731,702,492 ",98.97%," 3,718,194,202 ",77.77%,80.00%,76.04%
1,1,10107,396,1.20.029,Kelurahan Kampung Bali - JAKPUS," 3,543,114,000 "," 3,377,110,904 ",95.31%," 2,749,315,454 ",77.60%,50.08%,25.64%
1,1,10200,397,1.20.030,Kecamatan Menteng - JAKPUS," 3,750,000,000 "," 3,648,709,067 ",97.30%," 3,235,700,367 ",86.29%,20.31%,10.73%
1,1,10201,398,1.20.031,Kelurahan Menteng - JAKPUS," 4,431,946,000 "," 3,632,663,998 ",81.97%," 3,042,639,003 ",68.65%,57.79%,46.78%
1,1,10202,399,1.20.032,Kelurahan Pegangsaan - JAKPUS," 4,025,486,000 "," 3,563,611,427 ",88.53%," 2,801,453,427 ",69.59%,57.31%,31.97%
1,1,10203,400,1.20.033,Kelurahan Cikini - JAKPUS," 2,986,384,000 "," 2,081,259,246 ",69.69%," 2,076,682,696 ",69.54%,17.53%,9.85%
1,1,10204,401,1.20.034,Kelurahan Gondangdia - JAKPUS," 2,549,700,000 "," 2,278,276,151 ",89.35%," 2,133,503,051 ",83.68%,91.30%,72.74%
1,1,10205,402,1.20.035,Kelurahan Kebon Sirih - JAKPUS," 3,469,002,000 "," 3,218,741,399 ",92.79%," 2,607,571,399 ",75.17%,69.64%,27.70%
1,1,10300,403,1.20.036,Kecamatan Senen - JAKPUS," 3,634,000,000 "," 3,490,793,319 ",96.06%," 2,233,010,779 ",61.45%,85.17%,26.05%
1,1,10301,404,1.20.037,Kelurahan Kenari - JAKPUS," 2,922,199,000 "," 2,855,138,478 ",97.71%," 2,438,745,253 ",83.46%,91.00%,72.82%
1,1,10302,405,1.20.038,Kelurahan Paseban - JAKPUS," 3,884,099,000 "," 3,801,699,349 ",97.88%," 2,554,857,729 ",65.78%,78.50%,73.88%
1,1,10303,406,1.20.039,Kelurahan Kramat - JAKPUS," 4,192,178,000 "," 3,901,781,106 ",93.07%," 3,362,434,770 ",80.21%,98.82%,76.56%
1,1,10304,407,1.20.040,Kelurahan Kwitang - JAKPUS," 3,565,300,000 "," 3,552,211,180 ",99.63%," 3,042,754,280 ",85.34%,87.27%,67.74%
1,1,10305,408,1.20.041,Kelurahan Senen - JAKPUS," 2,417,926,000 "," 2,360,373,113 ",97.62%," 1,908,022,153 ",78.91%,84.18%,39.38%
1,1,10306,409,1.20.042,Kelurahan Bungur - JAKPUS," 4,158,650,000 "," 4,092,299,187 ",98.40%," 3,161,396,887 ",76.02%,80.61%,67.86%
1,1,10400,410,1.20.043,Kecamatan Cempaka Putih - JAKPUS," 3,412,000,000 "," 3,159,731,151 ",92.61%," 2,211,605,959 ",64.82%,58.86%,31.32%
1,1,10401,411,1.20.044,Kelurahan Rawasari - JAKPUS," 3,856,383,000 "," 3,749,825,786 ",97.24%," 3,153,303,011 ",81.77%,82.11%,54.06%
1,1,10402,412,1.20.045,Kelurahan Cempaka Putih Timur - JAKPUS," 3,839,352,000 "," 3,363,742,659 ",87.61%," 3,351,191,439 ",87.29%,25.46%,63.05%
1,1,10403,413,1.20.046,Kelurahan Cempaka Putih Barat - JAKPUS," 4,725,437,000 "," 4,667,069,487 ",98.76%," 3,874,435,557 ",81.99%,98.95%,80.96%
1,1,10500,414,1.20.047,Kecamatan Johar Baru - JAKPUS," 3,575,100,000 "," 3,340,339,304 ",93.43%," 2,791,847,805 ",78.09%,84.59%,71.01%
1,1,10501,415,1.20.048,Kelurahan Johar Baru - JAKPUS," 5,106,235,000 "," 4,877,036,419 ",95.51%," 3,988,862,947 ",78.12%,33.61%,77.20%
1,1,10502,416,1.20.049,Kelurahan Kampung Rawa - JAKPUS," 3,786,619,000 "," 3,421,105,755 ",90.35%," 2,817,631,401 ",74.41%,80.81%,52.06%
1,1,10503,417,1.20.050,Kelurahan Galur - JAKPUS," 3,774,942,000 "," 3,738,438,294 ",99.03%," 3,171,158,194 ",84.01%,84.14%,60.56%
1,1,10504,418,1.20.051,Kelurahan Tanah Tinggi - JAKPUS," 6,019,592,000 "," 5,104,548,224 ",84.80%," 4,158,118,734 ",69.08%,85.45%,53.02%
1,1,10600,419,1.20.052,Kecamatan Kemayoran - JAKPUS," 3,756,330,000 "," 3,422,943,442 ",91.12%," 2,596,939,398 ",69.14%,95.54%,68.71%
1,1,10601,420,1.20.053,Kelurahan Harapan Mulia - JAKPUS," 3,883,833,000 "," 3,838,530,397 ",98.83%," 3,077,761,452 ",79.25%,85.79%,86.11%
1,1,10602,421,1.20.054,Kelurahan Cempaka Baru - JAKPUS," 4,269,619,000 "," 3,434,374,518 ",80.44%," 3,101,479,018 ",72.64%,14.69%,6.24%
1,1,10603,422,1.20.055,Kelurahan Sumur Batu - JAKPUS," 3,717,502,000 "," 3,593,168,865 ",96.66%," 2,923,534,966 ",78.64%,91.53%,55.10%
1,1,10604,423,1.20.056,Kelurahan Serdang - JAKPUS," 3,850,368,000 "," 3,777,086,868 ",98.10%," 3,051,347,538 ",79.25%,78.01%,56.88%
1,1,10605,425,1.20.057,Kelurahan Kebon Kosong - JAKPUS," 4,749,547,750 "," 4,691,205,002 ",98.77%," 3,677,587,402 ",77.43%,68.70%,48.00%
1,1,10606,426,1.20.058,Kelurahan Kemayoran - JAKPUS," 4,053,323,000 "," 3,973,385,977 ",98.03%," 3,324,964,362 ",82.03%,84.64%,45.97%
1,1,10607,424,1.20.059,Kelurahan Utan Panjang - JAKPUS," 4,332,895,000 "," 4,154,760,276 ",95.89%," 3,388,726,343 ",78.21%,82.43%,57.61%
1,1,10608,427,1.20.060,Kelurahan Gunung Sahari Selatan - JAKPUS," 3,996,933,500 "," 3,862,969,007 ",96.65%," 2,948,053,122 ",73.76%,56.90%,74.27%
1,1,10700,428,1.20.061,Kecamatan Sawah Besar - JAKPUS," 3,673,000,000 "," 3,424,613,613 ",93.24%," 3,206,291,266 ",87.29%,85.66%,39.39%
1,1,10701,429,1.20.062,Kelurahan Pasar Baru - JAKPUS," 3,125,610,000 "," 3,077,651,643 ",98.47%," 2,653,785,723 ",84.90%,91.04%,78.32%
1,1,10702,430,1.20.063,Kelurahan Karang Anyar - JAKPUS," 5,501,479,000 "," 5,392,194,997 ",98.01%," 4,342,916,825 ",78.94%,92.82%,72.63%
1,1,10703,431,1.20.064,Kelurahan Kartini - JAKPUS," 4,288,485,000 "," 4,206,191,192 ",98.08%," 3,535,460,142 ",82.44%,83.13%,75.95%
1,1,10704,432,1.20.065,Kelurahan Gunung Sahari Utara - JAKPUS," 3,674,492,000 "," 3,614,863,212 ",98.38%," 2,742,247,662 ",74.63%,69.83%,57.40%
1,1,10705,433,1.20.066,Kelurahan Mangga Dua Selatan - JAKPUS," 4,773,390,000 "," 4,618,821,459 ",96.76%," 3,973,569,850 ",83.24%,92.83%,87.96%
1,1,10800,434,1.20.067,Kecamatan Gambir - JAKPUS," 3,298,200,000 "," 2,786,928,195 ",84.50%," 1,728,617,216 ",52.41%,74.92%,35.35%
1,1,10801,435,1.20.068,Kelurahan Cideng - JAKPUS," 4,013,545,000 "," 3,954,793,816 ",98.54%," 3,935,455,316 ",98.05%,5.68%,61.99%
1,1,10802,436,1.20.069,Kelurahan Petojo Selatan - JAKPUS," 3,441,102,000 "," 3,359,191,218 ",97.62%," 2,710,657,243 ",78.77%,85.55%,56.75%
1,1,10803,437,1.20.070,Kelurahan Gambir - JAKPUS," 2,739,553,000 "," 2,492,674,069 ",90.99%," 2,290,307,129 ",83.60%,83.86%,82.72%
1,1,10804,438,1.20.071,Kelurahan Kebon Kelapa - JAKPUS," 2,580,494,000 "," 2,548,120,305 ",98.75%," 2,093,822,392 ",81.14%,89.16%,96.07%
1,1,10805,439,1.20.072,Kelurahan Petojo Utara - JAKPUS," 3,686,945,000 "," 3,517,206,281 ",95.40%," 2,933,664,881 ",79.57%,84.61%,67.95%
1,1,10806,440,1.20.073,Kelurahan Duri Pulo - JAKPUS," 4,144,713,000 "," 4,074,828,153 ",98.31%," 3,982,467,693 ",96.09%,93.85%,96.92%
1,1,20000,115,1.20.078,Kota Administrasi Jakarta Utara," 92,531,499,890 "," 44,333,627,201 ",47.91%," 34,250,795,120 ",37.02%,83.42%,62.26%
1,1,20000,116,1.06.003,Kantor Perencanaan Pembangunan - JAKUT," 5,600,000,000 "," 5,025,375,891 ",89.74%," 2,584,298,457 ",46.15%,62.18%,28.86%
1,1,20000,117,1.20.119,Inspektorat Pembantu - JAKUT," 3,820,240,000 "," 3,659,341,600 ",95.79%," 2,132,548,750 ",55.82%,71.77%,27.19%
1,1,20000,118,1.19.003,Kantor Kesatuan Bangsa dan Politik - JAKUT," 9,055,000,000 "," 7,599,702,750 ",83.93%," 4,986,091,250 ",55.06%,56.54%,30.93%
4,4,20000,119,1.08.009,Kantor Lingkungan Hidup - JAKUT," 3,730,000,000 "," 2,951,508,850 ",79.13%," 2,027,475,033 ",54.36%,81.15%,59.24%
5,3,20000,120,1.22.003,Kantor Pemberdayaan Masyarakat dan Perempuan - JAKUT," 11,039,552,500 "," 9,282,579,000 ",84.08%," 5,642,531,112 ",51.11%,61.93%,51.82%
1,1,20000,121,1.20.360,Satpol PP - JAKUT," 28,517,722,500 "," 18,841,079,500 ",66.07%," 17,067,898,865 ",59.85%,64.36%,26.13%
1,1,20000,122,1.10.003,Sudin Kependudukan dan Catatan Sipil - JAKUT," 6,212,500,000 "," 4,826,395,655 ",77.69%," 3,339,035,755 ",53.75%,87.60%,81.18%
1,1,20000,123,1.20.118,Sudin Pemadam Kebakaran dan Penanggulangan Bencana - JAKUT," 43,429,839,583 "," 11,622,627,703 ",26.76%," 11,524,562,978 ",26.54%,56.64%,52.48%
2,2,20000,125,1.15.004,"Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKUT"," 2,336,001,500 "," 2,190,211,900 ",93.76%," 2,178,141,721 ",93.24%,83.02%,92.21%
2,2,20000,127,2.05.010,"Sudin Peternakan, Perikanan dan Kelautan - JAKUT"," 3,771,000,000 "," 3,637,275,800 ",96.45%," 3,001,202,100 ",79.59%,82.87%,35.38%
2,2,20000,128,1.21.009,Sudin Pertanian dan Kehutanan - JAKUT," 2,515,000,000 "," 2,207,866,585 ",87.79%," 2,021,671,535 ",80.38%,79.17%,92.96%
2,2,20000,129,1.17.020,Sudin Pariwisata - JAKUT," 4,686,054,000 "," 3,763,869,500 ",80.32%," 3,593,960,140 ",76.69%,100.00%,62.99%
3,2,20000,130,1.20.117,Sudin Pelayanan Pajak I - JAKUT," 1,210,000,000 "," 1,198,614,900 ",99.06%," 278,232,643 ",22.99%,81.53%,20.02%
3,2,20000,131,1.20.375,Sudin Pelayanan Pajak II - JAKUT," 1,130,000,000 "," 1,130,000,000 ",100.00%," 537,069,100 ",47.53%,84.82%,70.45%
4,4,20000,132,1.03.004,Sudin PU Jalan - JAKUT," 181,794,696,214 "," 91,125,759,976 ",50.13%," 87,868,583,911 ",48.33%,99.51%,74.43%
4,4,20000,133,1.03.005,Sudin PU Tata Air - JAKUT," 185,972,146,984 "," 108,030,816,435 ",58.09%," 59,332,947,332 ",31.90%,53.20%,27.17%
4,4,20000,136,1.05.005,Sudin Pengawasan dan Penertiban Bangunan - JAKUT," 3,112,360,000 "," 2,915,964,400 ",93.69%," 1,340,414,375 ",43.07%,85.53%,83.55%
4,4,20000,137,1.08.022,Sudin Pertamanan - JAKUT," 36,966,679,510 "," 13,613,636,617 ",36.83%," 12,661,248,590 ",34.25%,61.57%,36.33%
2,2,20000,139,1.07.012,Sudin Perhubungan - JAKUT," 9,287,044,000 "," 5,331,336,949 ",57.41%," 4,554,321,149 ",49.04%,84.38%,56.06%
4,4,20000,140,1.08.010,Sudin Kebersihan - JAKUT," 84,891,201,715 "," 38,160,001,039 ",44.95%," 27,458,218,737 ",32.35%,75.55%,47.75%
5,3,20000,141,1.01.011,Sudin Pendidikan Dasar - JAKUT," 391,464,400,237 "," 125,878,201,350 ",32.16%," 88,727,356,578 ",22.67%,72.72%,63.86%
5,3,20000,142,1.01.022,Sudin Pendidikan Menengah   - JAKUT," 351,194,991,240 "," 140,525,963,015 ",40.01%," 113,930,847,365 ",32.44%,64.19%,18.10%
5,3,20000,144,1.02.022,BLUD Puskesmas Kec. Penjaringan - JAKUT," 12,655,715,000 "," 7,545,362,870 ",59.62%," 5,923,716,394 ",46.81%,63.94%,61.51%
5,3,20000,145,1.02.023,BLUD Puskesmas Kec. Pademangan - JAKUT," 9,601,857,000 "," 6,246,021,153 ",65.05%," 4,617,738,536 ",48.09%,64.65%,59.95%
5,3,20000,146,1.02.024,BLUD Puskesmas Kec. Tanjung Priok - JAKUT," 16,168,554,250 "," 9,146,471,537 ",56.57%," 7,881,889,993 ",48.75%,83.89%,89.27%
5,3,20000,147,1.02.025,BLUD Puskesmas Kec. Koja - JAKUT," 16,325,308,800 "," 11,000,988,867 ",67.39%," 8,973,163,824 ",54.96%,75.47%,76.01%
5,3,20000,148,1.02.026,BLUD Puskesmas Kec. Kelapa Gading - JAKUT," 11,099,015,800 "," 7,432,006,063 ",66.96%," 6,365,345,558 ",57.35%,85.07%,66.29%
5,3,20000,149,1.02.027,BLUD Puskesmas Kec. Cilincing - JAKUT," 17,751,430,000 "," 9,555,838,602 ",53.83%," 7,579,024,088 ",42.70%,85.05%,82.43%
5,3,20000,151,1.13.028,Sudin Sosial - JAKUT," 19,575,000,000 "," 13,528,599,068 ",69.11%," 10,589,533,762 ",54.10%,88.31%,42.49%
5,3,20000,152,1.18.010,Sudin Olah Raga dan Pemuda - JAKUT," 40,994,750,000 "," 17,258,139,700 ",42.10%," 11,714,926,140 ",28.58%,93.32%,19.77%
2,2,20000,153,1.17.018,Sudin Kebudayaan - JAKUT," 6,025,000,000 "," 4,681,858,027 ",77.71%," 4,350,863,527 ",72.21%,86.69%,80.89%
2,2,20000,154,1.14.013,Sudin Tenaga Kerja dan Transmigrasi - JAKUT," 3,182,045,000 "," 2,915,298,606 ",91.62%," 2,820,580,606 ",88.64%,70.06%,86.73%
1,1,20000,155,1.25.003,"Sudin Komunikasi, Informatika dan Kehumasan - JAKUT"," 6,435,000,000 "," 4,009,406,760 ",62.31%," 2,697,413,700 ",41.92%,93.19%,52.67%
4,4,20000,157,1.05.015,Sudin Perizinan Bangunan - JAKUT," 1,336,757,500 "," 679,063,819 ",50.80%," 524,275,099 ",39.22%,94.19%,65.29%
4,4,20000,158,1.08.008,Sudin Pemakaman - JAKUT," 23,664,888,043 "," 12,962,790,459 ",54.78%," 10,147,836,160 ",42.88%,57.79%,49.76%
5,3,20000,159,1.26.003,Kantor Perpustakaan dan Arsip Daerah - JAKUT," 5,466,390,000 "," 4,371,063,531 ",79.96%," 4,026,298,166 ",73.66%,94.18%,88.21%
5,3,20000,345,1.18.011,Gelanggang Remaja Jakarta Utara," 20,874,888,584 "," 16,381,452,639 ",78.47%," 13,860,444,139 ",66.40%,60.74%,60.35%
